query,start,end,tp,total,t1,t1total,t2,t2total,t3,t3total
selected/1596202.java_ponerFlotantexRonda,398,419,9,12,0,0,3,3,6,9
selected/1596202.java_ponerRivalxRonda,421,442,8,11,0,0,2,2,6,9
selected/1596202.java_ponerColorxRonda,476,497,7,10,0,0,1,1,6,9
selected/1098324.java_encodeFileToFile,815,841,5,13,5,5,0,6,0,2
selected/1098324.java_decodeFileToFile,851,877,5,12,5,5,0,5,0,2
selected/925397.java_encodeFileToFile,854,880,6,11,0,0,1,1,5,10
selected/1771833.java_hashPassword,105,116,1,11,1,1,0,0,0,10
selected/1355518.java_createMD5,150,160,2,17,1,1,0,0,1,16
selected/1418610.java_calculateHA2,452,462,4,13,1,1,0,0,3,12
selected/784065.java_copyFile,86,100,2,13,2,2,0,0,0,11
selected/1113498.java_copy,86,104,3,15,0,0,1,1,2,14
selected/2733872.java_copyFile,85,99,1,10,1,1,0,0,0,9
