Settings, precisonMar 28, 2016 1:12:41 AM org.elasticsearch.plugins.PluginsService <init>
INFO: [Bella Donna] loaded [], sites []
tfidf_no_djw_1,0.7411111111111116
tfidf_no_djw_2,0.842222222222222
tfidf_no_djw_3,0.8211111111111111
tfidf_no_djw_4,0.8133333333333329
tfidf_no_djws_1,0.42000000000000004
tfidf_no_djws_2,0.5944444444444439
tfidf_no_djws_3,0.601111111111111
tfidf_no_djws_4,0.5611111111111108
tfidf_no_djp_1,0.7466666666666666
tfidf_no_djp_2,0.744444444444444
tfidf_no_djp_3,0.7544444444444445
tfidf_no_djp_4,0.7566666666666666
tfidf_no_djps_1,0.6455555555555555
tfidf_no_djps_2,0.6499999999999998
tfidf_no_djps_3,0.647777777777778
tfidf_no_djps_4,0.6344444444444446
tfidf_no_djpw_1,0.7666666666666667
tfidf_no_djpw_2,0.8355555555555554
tfidf_no_djpw_3,0.8366666666666668
tfidf_no_djpw_4,0.8044444444444442
tfidf_no_djpws_1,0.4166666666666667
tfidf_no_djpws_2,0.6144444444444445
tfidf_no_djpws_3,0.5944444444444443
tfidf_no_djpws_4,0.5777777777777775
tfidf_no_djk_1,0.7288888888888885
tfidf_no_djk_2,0.7411111111111108
tfidf_no_djk_3,0.7599999999999999
tfidf_no_djk_4,0.7499999999999999
tfidf_no_djks_1,0.6422222222222221
tfidf_no_djks_2,0.641111111111111
tfidf_no_djks_3,0.6466666666666667
tfidf_no_djks_4,0.6333333333333333
tfidf_no_djkw_1,0.6533333333333337
tfidf_no_djkw_2,0.7522222222222221
tfidf_no_djkw_3,0.7555555555555558
tfidf_no_djkw_4,0.7844444444444443
tfidf_no_djkws_1,0.2988888888888891
tfidf_no_djkws_2,0.4522222222222218
tfidf_no_djkws_3,0.48888888888888843
tfidf_no_djkws_4,0.49999999999999983
tfidf_no_djkp_1,0.7166666666666663
tfidf_no_djkp_2,0.734444444444444
tfidf_no_djkp_3,0.7588888888888887
tfidf_no_djkp_4,0.7488888888888886
tfidf_no_djkps_1,0.6377777777777777
tfidf_no_djkps_2,0.6333333333333332
tfidf_no_djkps_3,0.6344444444444445
tfidf_no_djkps_4,0.63
tfidf_no_djkpw_1,0.7111111111111115
tfidf_no_djkpw_2,0.7999999999999995
tfidf_no_djkpw_3,0.7955555555555557
tfidf_no_djkpw_4,0.7833333333333332
tfidf_no_djkpws_1,0.3311111111111112
tfidf_no_djkpws_2,0.5133333333333331
tfidf_no_djkpws_3,0.5155555555555553
tfidf_no_djkpws_4,0.5111111111111108
Settings, precisonMar 28, 2016 1:17:39 AM org.elasticsearch.plugins.PluginsService <init>
INFO: [Benedict Kine] loaded [], sites []
tfidf_true_x_1,0.8377777777777775
tfidf_true_x_2,0.8944444444444445
tfidf_true_x_3,0.9199999999999998
tfidf_true_x_4,0.9311111111111109
tfidf_true_s_1,0.7311111111111107
tfidf_true_s_2,0.8088888888888889
tfidf_true_s_3,0.8188888888888884
tfidf_true_s_4,0.8055555555555552
tfidf_true_w_1,0.8577777777777786
tfidf_true_w_2,0.8888888888888887
tfidf_true_w_3,0.8966666666666671
tfidf_true_w_4,0.908888888888889
tfidf_true_ws_1,0.698888888888889
tfidf_true_ws_2,0.8111111111111111
tfidf_true_ws_3,0.8066666666666668
tfidf_true_ws_4,0.798888888888889
tfidf_true_p_1,0.8455555555555553
tfidf_true_p_2,0.891111111111111
tfidf_true_p_3,0.922222222222222
tfidf_true_p_4,0.9311111111111109
tfidf_true_ps_1,0.7377777777777775
tfidf_true_ps_2,0.8044444444444443
tfidf_true_ps_3,0.8166666666666663
tfidf_true_ps_4,0.8055555555555552
tfidf_true_pw_1,0.863333333333334
tfidf_true_pw_2,0.8733333333333334
tfidf_true_pw_3,0.8822222222222225
tfidf_true_pw_4,0.906666666666667
tfidf_true_pws_1,0.7111111111111111
tfidf_true_pws_2,0.7700000000000001
tfidf_true_pws_3,0.7833333333333334
tfidf_true_pws_4,0.7944444444444444
tfidf_true_k_1,0.8344444444444442
tfidf_true_k_2,0.891111111111111
tfidf_true_k_3,0.922222222222222
tfidf_true_k_4,0.9199999999999998
