Settings, precison
tfidf_false_dkws_4,0.828888889
tfidf_no_dkw_4,0.828888889
tfidf_true_djws_3,0.826666667
tfidf_false_djws_3,0.826666667
tfidf_no_kpw_4,0.826666667
tfidf_no_jw_1,0.824444444
tfidf_true_jkws_2,0.824444444
tfidf_true_dp_1,0.824444444
tfidf_true_dkws_2,0.824444444
tfidf_false_jkws_2,0.824444444
tfidf_false_dp_1,0.824444444
tfidf_false_dkws_2,0.824444444
tfidf_true_k_1,0.823333333
tfidf_true_dws_3,0.823333333
tfidf_true_dkpw_1,0.823333333
tfidf_false_k_1,0.823333333
tfidf_false_dws_3,0.823333333
tfidf_false_dkpw_1,0.823333333
tfidf_no_kpw_2,0.822222222
tfidf_no_jpw_1,0.822222222
tfidf_no_dkpw_3,0.822222222
tfidf_true_ws_4,0.822222222
tfidf_true_dws_4,0.822222222
tfidf_false_ws_4,0.822222222
tfidf_false_dws_4,0.822222222
tfidf_true_x_1,0.821111111
tfidf_false_x_1,0.821111111
tfidf_true_pws_4,0.82
tfidf_true_kpws_4,0.82
tfidf_true_jkws_3,0.82
tfidf_false_pws_4,0.82
tfidf_false_kpws_4,0.82
tfidf_false_jkws_3,0.82
tfidf_no_dw_2,0.82
tfidf_no_djkw_4,0.82
tfidf_no_jkw_2,0.818888889
tfidf_true_dws_2,0.817777778
tfidf_false_dws_2,0.817777778
tfidf_no_jkpw_4,0.816666667
tfidf_no_djkpw_3,0.816666667
tfidf_true_jps_4,0.816666667
tfidf_true_djkpws_4,0.816666667
tfidf_false_jps_4,0.816666667
tfidf_false_djkpws_4,0.816666667
tfidf_true_ps_4,0.815555556
tfidf_true_d_1,0.815555556
tfidf_true_dpws_4,0.815555556
tfidf_false_ps_4,0.815555556
tfidf_false_d_1,0.815555556
tfidf_false_dpws_4,0.815555556
tfidf_true_s_3,0.814444444
tfidf_true_ps_3,0.814444444
tfidf_true_jps_3,0.814444444
tfidf_false_s_3,0.814444444
tfidf_false_ps_3,0.814444444
tfidf_false_jps_3,0.814444444
tfidf_true_dkpws_4,0.813333333
tfidf_false_dkpws_4,0.813333333
tfidf_true_ds_3,0.812222222
tfidf_true_dps_3,0.812222222
tfidf_true_djws_2,0.812222222
tfidf_true_djkws_3,0.812222222
tfidf_false_ds_3,0.812222222
tfidf_false_dps_3,0.812222222
tfidf_false_djws_2,0.812222222
tfidf_false_djkws_3,0.812222222
tfidf_true_ks_3,0.812222222
tfidf_true_js_4,0.812222222
tfidf_true_dps_4,0.812222222
tfidf_true_djps_4,0.812222222
tfidf_false_ks_3,0.812222222
tfidf_false_js_4,0.812222222
tfidf_false_dps_4,0.812222222
tfidf_false_djps_4,0.812222222
tfidf_no_p_1,0.811111111
tfidf_true_s_4,0.811111111
tfidf_true_kps_3,0.811111111
tfidf_true_jks_3,0.811111111
tfidf_false_s_4,0.811111111
tfidf_false_kps_3,0.811111111
tfidf_false_jks_3,0.811111111
tfidf_true_jkpws_3,0.81
tfidf_true_dkw_1,0.81
tfidf_true_djkws_2,0.81
tfidf_false_jkpws_3,0.81
tfidf_false_dkw_1,0.81
tfidf_false_djkws_2,0.81
tfidf_true_js_3,0.81
tfidf_false_js_3,0.81
tfidf_true_jkps_3,0.808888889
tfidf_false_jkps_3,0.808888889
tfidf_true_s_2,0.807777778
tfidf_true_jpws_3,0.807777778
tfidf_true_ds_4,0.807777778
tfidf_true_djs_3,0.807777778
tfidf_true_djs_4,0.807777778
tfidf_true_djps_3,0.807777778
tfidf_false_s_2,0.807777778
tfidf_false_jpws_3,0.807777778
tfidf_false_ds_4,0.807777778
tfidf_false_djs_3,0.807777778
tfidf_false_djs_4,0.807777778
tfidf_false_djps_3,0.807777778
tfidf_no_djkpw_4,0.805555556
tfidf_true_ps_2,0.805555556
tfidf_false_ps_2,0.805555556
tfidf_no_djpw_1,0.804444444
tfidf_no_dkw_3,0.803333333
tfidf_true_js_2,0.803333333
tfidf_true_jpws_2,0.803333333
tfidf_true_dks_2,0.803333333
tfidf_true_dks_3,0.803333333
tfidf_true_dkp_1,0.803333333
tfidf_false_js_2,0.803333333
tfidf_false_jpws_2,0.803333333
tfidf_false_dks_2,0.803333333
tfidf_false_dks_3,0.803333333
tfidf_false_dkp_1,0.803333333
tfidf_true_pws_2,0.802222222
tfidf_true_dk_1,0.802222222
tfidf_false_pws_2,0.802222222
tfidf_false_dk_1,0.802222222
tfidf_true_dkps_3,0.802222222
tfidf_true_djks_3,0.802222222
tfidf_false_dkps_3,0.802222222
tfidf_false_djks_3,0.802222222
tfidf_no_dpw_1,0.801111111
tfidf_true_jp_1,0.801111111
tfidf_false_jp_1,0.801111111
tfidf_no_x_1,0.801111111
tfidf_true_ds_2,0.801111111
tfidf_false_ds_2,0.801111111
tfidf_true_djpws_3,0.8
tfidf_false_djpws_3,0.8
tfidf_no_djkw_2,0.8
tfidf_true_ks_2,0.8
tfidf_true_djkps_3,0.8
tfidf_false_ks_2,0.8
tfidf_false_djkps_3,0.8
tfidf_true_dps_2,0.798888889
tfidf_false_dps_2,0.798888889
tfidf_no_w_1,0.797777778
tfidf_no_djw_1,0.796666667
tfidf_true_jkpws_2,0.796666667
tfidf_false_jkpws_2,0.796666667
tfidf_no_kpw_1,0.795555556
tfidf_true_kpws_2,0.795555556
tfidf_true_djkpws_3,0.795555556
tfidf_false_kpws_2,0.795555556
tfidf_false_djkpws_3,0.795555556
tfidf_true_ks_4,0.794444444
tfidf_true_kps_2,0.794444444
tfidf_true_jks_4,0.794444444
tfidf_true_djs_2,0.794444444
tfidf_false_ks_4,0.794444444
tfidf_false_kps_2,0.794444444
tfidf_false_jks_4,0.794444444
tfidf_false_djs_2,0.794444444
tfidf_true_j_1,0.793333333
tfidf_true_dks_4,0.793333333
tfidf_true_djp_1,0.793333333
tfidf_true_djks_4,0.793333333
tfidf_false_j_1,0.793333333
tfidf_false_dks_4,0.793333333
