fold1, precison,fold2, precison,fold3, precison,fold4, precison,fold5, precison,fold6, precison,fold7, precison,fold8, precison,fold9, precison,fold10, precison
true_jk_4,0.895555556,false_djp_4,0.901111111,true_dpw_4,0.885555556,true_djpw_4,0.925555556,false_jw_4,0.892222222,true_dw_4,0.895555556,true_dw_3,0.895555556,false_djpw_4,0.885555556,false_d_3,0.92,false_djk_4,0.916666667
false_kp_4,0.895555556,true_w_4,0.898888889,true_djpw_4,0.885555556,true_djkw_4,0.925555556,false_jpw_4,0.892222222,true_dpw_4,0.895555556,false_w_2,0.895555556,true_w_2,0.884444444,true_djw_2,0.918888889,true_w_4,0.908888889
false_jk_4,0.895555556,true_pw_4,0.898888889,false_pw_4,0.885555556,false_pw_4,0.925555556,false_dkpw_4,0.892222222,true_djw_4,0.895555556,false_jw_4,0.895555556,false_w_2,0.884444444,true_djkw_2,0.918888889,false_w_4,0.908888889
true_jw_4,0.894444444,true_jw_3,0.898888889,false_dpw_4,0.885555556,false_jw_4,0.925555556,true_d_4,0.892222222,true_djpw_4,0.895555556,false_jpw_4,0.895555556,true_dkpw_4,0.883333333,false_djw_2,0.918888889,true_kw_4,0.907777778
false_jw_4,0.894444444,true_jpw_4,0.898888889,false_djpw_4,0.885555556,false_jpw_4,0.925555556,true_dp_4,0.892222222,false_kw_3,0.895555556,false_dw_3,0.895555556,true_djw_4,0.883333333,false_djkw_2,0.918888889,false_kw_4,0.907777778
true_jp_4,0.894444444,true_djpw_4,0.898888889,true_kw_4,0.884444444,false_dpw_4,0.925555556,true_dk_3,0.892222222,false_dw_4,0.895555556,true_kw_2,0.895555556,false_dkpw_4,0.883333333,true_jw_4,0.917777778,true_pw_4,0.906666667
true_djp_4,0.894444444,false_w_4,0.898888889,false_kw_4,0.884444444,false_djw_4,0.925555556,true_dkp_3,0.892222222,false_dpw_4,0.895555556,true_j_3,0.895555556,false_djw_4,0.883333333,false_jw_4,0.917777778,false_pw_4,0.906666667
false_jp_4,0.894444444,false_pw_4,0.898888889,true_w_2,0.884444444,false_djpw_4,0.925555556,true_dj_4,0.892222222,false_djw_4,0.895555556,true_jp_3,0.895555556,true_jw_3,0.883333333,true_w_4,0.916666667,true_jk_3,0.905555556
false_djp_4,0.894444444,false_jw_3,0.898888889,true_dk_4,0.884444444,false_djkw_4,0.925555556,true_djp_4,0.892222222,false_djpw_4,0.895555556,false_kw_2,0.895555556,false_jw_3,0.883333333,true_pw_4,0.916666667,true_dkw_4,0.905555556
true_djk_3,0.893333333,false_jpw_4,0.898888889,true_dkp_4,0.884444444,true_k_3,0.925555556,false_d_4,0.892222222,true_jpw_4,0.895555556,false_j_3,0.895555556,true_kpw_4,0.882222222,true_dkpw_4,0.916666667,false_jk_3,0.905555556
