Settings, precisonMar 27, 2016 9:28:35 PM org.elasticsearch.plugins.PluginsService <init>
INFO: [Maxam] loaded [], sites []
tfidf_no_dkws_4,0.47111111111111126
tfidf_no_dkp_1,0.7699999999999991
tfidf_no_dkp_2,0.766666666666666
tfidf_no_dkp_3,0.753333333333333
tfidf_no_dkp_4,0.7388888888888886
tfidf_no_dkps_1,0.643333333333333
tfidf_no_dkps_2,0.6344444444444443
tfidf_no_dkps_3,0.6144444444444445
tfidf_no_dkps_4,0.6011111111111112
tfidf_no_dkpw_1,0.7411111111111115
tfidf_no_dkpw_2,0.7666666666666664
tfidf_no_dkpw_3,0.7933333333333339
tfidf_no_dkpw_4,0.8122222222222214
tfidf_no_dkpws_1,0.41444444444444456
tfidf_no_dkpws_2,0.4955555555555554
tfidf_no_dkpws_3,0.5188888888888886
tfidf_no_dkpws_4,0.4888888888888889
tfidf_no_dj_1,0.7233333333333332
tfidf_no_dj_2,0.7288888888888888
tfidf_no_dj_3,0.7455555555555552
tfidf_no_dj_4,0.7244444444444443
tfidf_no_djs_1,0.6144444444444443
tfidf_no_djs_2,0.6300000000000002
tfidf_no_djs_3,0.6100000000000001
tfidf_no_djs_4,0.5944444444444446
tfidf_no_djw_1,0.7066666666666666
tfidf_no_djw_2,0.8
tfidf_no_djw_3,0.7833333333333337
tfidf_no_djw_4,0.7866666666666665
tfidf_no_djws_1,0.4122222222222222
tfidf_no_djws_2,0.5599999999999997
tfidf_no_djws_3,0.5711111111111109
tfidf_no_djws_4,0.5299999999999999
tfidf_no_djp_1,0.7222222222222221
tfidf_no_djp_2,0.72
tfidf_no_djp_3,0.7366666666666664
tfidf_no_djp_4,0.7211111111111111
tfidf_no_djps_1,0.6133333333333332
tfidf_no_djps_2,0.6166666666666668
tfidf_no_djps_3,0.6033333333333335
tfidf_no_djps_4,0.5911111111111113
tfidf_no_djpw_1,0.7555555555555559
tfidf_no_djpw_2,0.828888888888889
tfidf_no_djpw_3,0.8255555555555558
tfidf_no_djpw_4,0.7933333333333332
tfidf_no_djpws_1,0.43444444444444447
tfidf_no_djpws_2,0.6011111111111109
tfidf_no_djpws_3,0.5822222222222224
tfidf_no_djpws_4,0.5588888888888888
tfidf_no_djk_1,0.724444444444444
tfidf_no_djk_2,0.7244444444444443
tfidf_no_djk_3,0.7355555555555553
tfidf_no_djk_4,0.7233333333333332
tfidf_no_djks_1,0.6277777777777775
tfidf_no_djks_2,0.6211111111111112
tfidf_no_djks_3,0.6100000000000001
tfidf_no_djks_4,0.5933333333333334
tfidf_no_djkw_1,0.6611111111111116
tfidf_no_djkw_2,0.7277777777777777
tfidf_no_djkw_3,0.7411111111111113
tfidf_no_djkw_4,0.7711111111111112
tfidf_no_djkws_1,0.31000000000000016
tfidf_no_djkws_2,0.41444444444444417
tfidf_no_djkws_3,0.47333333333333344
tfidf_no_djkws_4,0.448888888888889
tfidf_no_djkp_1,0.724444444444444
tfidf_no_djkp_2,0.7244444444444443
tfidf_no_djkp_3,0.7277777777777774
tfidf_no_djkp_4,0.7233333333333332
tfidf_no_djkps_1,0.6255555555555554
tfidf_no_djkps_2,0.6155555555555554
tfidf_no_djkps_3,0.6055555555555557
tfidf_no_djkps_4,0.5911111111111111
tfidf_no_djkpw_1,0.7177777777777783
tfidf_no_djkpw_2,0.7977777777777777
tfidf_no_djkpw_3,0.7933333333333336
tfidf_no_djkpw_4,0.8033333333333328
tfidf_no_djkpws_1,0.3533333333333333
tfidf_no_djkpws_2,0.4944444444444442
tfidf_no_djkpws_3,0.49666666666666665
tfidf_no_djkpws_4,0.5077777777777778
Settings, precisonMar 27, 2016 9:33:39 PM org.elasticsearch.plugins.PluginsService <init>
INFO: [Melee] loaded [], sites []
tfidf_true_x_1,0.8266666666666665
tfidf_true_x_2,0.8799999999999997
tfidf_true_x_3,0.9111111111111104
tfidf_true_x_4,0.9011111111111109
tfidf_true_s_1,0.7166666666666663
tfidf_true_s_2,0.7977777777777771
tfidf_true_s_3,0.8022222222222217
tfidf_true_s_4,0.7977777777777776
tfidf_true_w_1,0.8444444444444448
tfidf_true_w_2,0.8833333333333339
tfidf_true_w_3,0.8911111111111116
tfidf_true_w_4,0.8988888888888894
tfidf_true_ws_1,0.6855555555555557
tfidf_true_ws_2,0.7955555555555558
tfidf_true_ws_3,0.7977777777777783
tfidf_true_ws_4,0.7888888888888892
tfidf_true_p_1,0.8266666666666665
tfidf_true_p_2,0.8744444444444441
tfidf_true_p_3,0.9111111111111104
tfidf_true_p_4,0.9011111111111109
tfidf_true_ps_1,0.7211111111111107
tfidf_true_ps_2,0.7922222222222216
tfidf_true_ps_3,0.7999999999999995
tfidf_true_ps_4,0.7866666666666666
tfidf_true_pw_1,0.857777777777778
tfidf_true_pw_2,0.8900000000000002
tfidf_true_pw_3,0.8977777777777782
tfidf_true_pw_4,0.8988888888888894
tfidf_true_pws_1,0.7066666666666667
tfidf_true_pws_2,0.7900000000000004
tfidf_true_pws_3,0.784444444444445
tfidf_true_pws_4,0.797777777777778
tfidf_true_k_1,0.821111111111111
tfidf_true_k_2,0.8733333333333331
tfidf_true_k_3,0.9144444444444441
tfidf_true_k_4,0.8944444444444439
tfidf_true_ks_1,0.7255555555555552
tfidf_true_ks_2,0.7888888888888884
tfidf_true_ks_3,0.8077777777777774
tfidf_true_ks_4,0.7811111111111111
tfidf_true_kw_1,0.8300000000000002
tfidf_true_kw_2,0.9033333333333333
tfidf_true_kw_3,0.8900000000000006
tfidf_true_kw_4,0.8944444444444449
tfidf_true_kws_1,0.6800000000000002
tfidf_true_kws_2,0.8088888888888889
tfidf_true_kws_3,0.7977777777777783
tfidf_true_kws_4,0.795555555555556
tfidf_true_kp_1,0.821111111111111
tfidf_true_kp_2,0.8699999999999997
tfidf_true_kp_3,0.9144444444444441
tfidf_true_kp_4,0.8944444444444439
tfidf_true_kps_1,0.734444444444444
tfidf_true_kps_2,0.785555555555555
tfidf_true_kps_3,0.7955555555555551
tfidf_true_kps_4,0.7766666666666666
tfidf_true_kpw_1,0.8333333333333335
tfidf_true_kpw_2,0.9088888888888889
tfidf_true_kpw_3,0.8966666666666672
tfidf_true_kpw_4,0.8944444444444449
tfidf_true_kpws_1,0.6900000000000001
tfidf_true_kpws_2,0.798888888888889
tfidf_true_kpws_3,0.7811111111111115
tfidf_true_kpws_4,0.797777777777778
tfidf_true_j_1,0.7777777777777778
tfidf_true_j_2,0.8699999999999998
tfidf_true_j_3,0.8933333333333329
tfidf_true_j_4,0.9011111111111109
tfidf_true_js_1,0.6944444444444441
tfidf_true_js_2,0.7799999999999997
tfidf_true_js_3,0.7822222222222219
tfidf_true_js_4,0.7955555555555553
tfidf_true_jw_1,0.8544444444444448
tfidf_true_jw_2,0.8844444444444446
tfidf_true_jw_3,0.8988888888888894
tfidf_true_jw_4,0.9011111111111116
tfidf_true_jws_1,0.6744444444444446
tfidf_true_jws_2,0.7900000000000003
tfidf_true_jws_3,0.8055555555555559
tfidf_true_jws_4,0.8133333333333337
tfidf_true_jp_1,0.7811111111111109
tfidf_true_jp_2,0.8655555555555552
tfidf_true_jp_3,0.8933333333333329
tfidf_true_jp_4,0.9011111111111109
tfidf_true_jps_1,0.6944444444444441
tfidf_true_jps_2,0.762222222222222
tfidf_true_jps_3,0.7777777777777775
tfidf_true_jps_4,0.7866666666666666
tfidf_true_jpw_1,0.8655555555555553
tfidf_true_jpw_2,0.8922222222222225
tfidf_true_jpw_3,0.9011111111111115
tfidf_true_jpw_4,0.8988888888888894
tfidf_true_jpws_1,0.7211111111111111
tfidf_true_jpws_2,0.7755555555555559
tfidf_true_jpws_3,0.8022222222222224
tfidf_true_jpws_4,0.816666666666667
tfidf_true_jk_1,0.7811111111111111
tfidf_true_jk_2,0.8699999999999994
tfidf_true_jk_3,0.8966666666666665
tfidf_true_jk_4,0.8944444444444439
tfidf_true_jks_1,0.693333333333333
tfidf_true_jks_2,0.7811111111111108
tfidf_true_jks_3,0.7822222222222219
tfidf_true_jks_4,0.7811111111111111
tfidf_true_jkw_1,0.8366666666666667
tfidf_true_jkw_2,0.8900000000000001
tfidf_true_jkw_3,0.8911111111111117
tfidf_true_jkw_4,0.8966666666666673
