>>>1<<<,>>>2<<<,>>>3<<<,>>>4<<<,>>>5<<<,>>>6<<<,>>>7<<<,>>>8<<<,>>>9<<<,>>>10<<<
3,3,2,3,3,3,3,3,3,3
4,4,4,4,4,4,3,3,3,1
1,1,1,1,1,1,1,1,1,4
19,31,32,42,83,0,0,0,0,2
3,3,3,3,3,3,3,4,4,17
2,2,2,2,2,2,2,2,2,1
17,17,17,17,17,17,17,17,17,6
5,1,1,1,1,1,1,1,1,18
6,6,6,6,6,6,6,6,6,4
18,18,18,18,18,18,18,18,18,47
11,6,5,5,4,4,4,4,4,2
6,11,13,13,13,13,14,21,29,10
2,2,2,2,2,2,2,2,2,7
10,10,11,11,10,10,10,10,10,2
7,7,7,7,7,7,7,7,7,4
2,2,2,2,2,2,2,2,2,1
4,4,4,4,4,4,4,4,4,57
15,19,26,29,33,45,62,68,0,15
1,1,1,1,1,1,1,1,1,9
5,6,9,17,20,26,27,32,45,2
2,3,3,3,4,7,8,9,15,6
3,8,9,9,9,9,9,10,9,6
2,2,2,2,2,2,2,2,2,10
6,6,6,6,6,6,6,6,6,21
6,6,6,6,6,6,6,6,6,23
8,6,10,8,10,10,10,6,10,2
21,21,21,21,21,21,21,21,21,1
23,23,23,23,23,23,23,23,23,1
8,10,5,3,3,1,1,2,2,5
1,1,1,1,1,1,1,1,1,3
1,1,1,1,1,1,1,1,1,40
5,5,5,5,5,5,5,5,5,13
3,3,3,3,3,3,3,3,3,13
3,5,9,10,11,15,16,24,28,2
13,13,13,13,13,13,13,13,13,7
1,1,1,1,1,3,3,7,9,2
2,2,2,2,2,2,2,2,2,1
7,7,7,7,7,7,7,7,7,53
5,1,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1
6,8,8,10,19,21,22,30,43,16
2,2,2,2,2,2,2,2,2,69
1,1,1,1,1,1,1,1,1,3
1,3,3,3,3,4,6,8,10,2
8,8,9,11,21,28,32,44,57,9
3,3,3,3,3,3,3,3,3,2
1,2,2,2,2,2,2,2,2,7
9,9,9,9,9,9,9,9,9,5
5,1,2,2,2,2,2,2,2,1
5,5,6,6,6,6,6,7,7,16
5,5,5,5,5,5,5,5,5,1
9,1,1,1,1,1,1,1,1,1
16,16,16,16,16,16,16,16,16,5
1,1,1,1,1,1,1,1,1,3
3,2,1,1,1,1,1,1,1,1
13,13,5,5,5,5,5,5,5,1
4,4,3,3,3,3,3,3,3,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,13
1,1,1,1,1,1,1,1,1,3
4,4,4,4,1,1,1,1,1,37
13,13,13,13,13,13,13,13,13,6
4,4,4,5,4,4,3,3,3,1
9,10,11,12,17,26,33,34,37,0.451272368
6,6,6,6,6,6,6,6,6,
1,1,1,1,1,1,1,1,1,
0.296296296,0.344444444,0.355555556,0.359259259,0.348148148,0.333333333,0.333333333,0.318518519,0.322222222,
