RxJava-0.20.5,541,Java,13422,26471,59366,
RxJava-0.20.6,541,Java,13491,26502,59534,
RxJava-0.20.7,541,Java,13495,26503,59559,
RxJava-1.0.0,384,Java,10770,20026,46709,
RxJava-1.0.0-rc.1,382,Java,10405,19986,44769,
RxJava-1.0.0-rc.10,384,Java,10760,20211,46671,
RxJava-1.0.0-rc.11,384,Java,10764,20032,46679,
RxJava-1.0.0-rc.12,384,Java,10770,20032,46709,
RxJava-1.0.0-rc.2,380,Java,10413,19879,44793,
RxJava-1.0.0-rc.3,380,Java,10433,19885,44939,
RxJava-1.0.0-rc.4,379,Java,10382,19810,44838,
RxJava-1.0.0-rc.5,377,Java,10387,19703,44968,
RxJava-1.0.0-rc.6,378,Java,10456,19744,45297,
RxJava-1.0.0-rc.7,379,Java,10561,19890,45673,
RxJava-1.0.0-rc.8,380,Java,10658,19874,46187,
RxJava-1.0.0-rc.9,380,Java,10675,19772,46292,
RxJava-1.0.1,384,Java,10778,20035,46795,
RxJava-1.0.10,416,Java,12206,22166,55839,
RxJava-1.0.11,419,Java,12332,22316,56535,
RxJava-1.0.12,432,Java,12611,22955,58307,
RxJava-1.0.13,439,Java,13030,24620,60509,
RxJava-1.0.14,448,Java,13682,25248,64459,
RxJava-1.0.15,471,Java,14571,26541,69150,
RxJava-1.0.16,477,Java,14782,26737,70061,
RxJava-1.0.17,480,Java,14900,26923,70695,
RxJava-1.0.2,389,Java,10878,20201,47534,
RxJava-1.0.3,392,Java,11102,20603,48941,
RxJava-1.0.4,392,Java,11116,20616,49074,
RxJava-1.0.5,406,Java,11616,21288,52428,
RxJava-1.0.6,406,Java,11644,21396,52539,
RxJava-1.0.7,408,Java,11794,21511,53105,
RxJava-1.0.8,408,Java,11884,21573,53585,
RxJava-1.0.9,409,Java,11970,21637,54085,
RxJava-1.1.0,476,Java,14718,26460,69374,
RxJava-1.1.1,502,Java,17047,28048,78054,
RxJava-1.1.10,599,Java,22027,35254,95566,
RxJava-1.1.2,512,Java,17903,28882,80976,
RxJava-1.1.3,513,Java,18142,29055,81814,
